2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(1, 0, 3) pool=98 drawn=30
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(1, 0, 4) pool=20 drawn=6
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(1, 1, 3) pool=86 drawn=26
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(1, 1, 4) pool=325 drawn=101
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(2, 0, 3) pool=43 drawn=13
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(2, 0, 4) pool=19 drawn=5
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(2, 1, 3) pool=4 drawn=1
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(2, 1, 4) pool=370 drawn=115
2026-04-25 16:33:54,892 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(3, 0, 3) pool=97 drawn=30
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(3, 0, 4) pool=25 drawn=7
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(3, 1, 3) pool=83 drawn=25
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(3, 1, 4) pool=311 drawn=96
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(4, 0, 4) pool=27 drawn=8
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(4, 1, 4) pool=389 drawn=135
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(5, 0, 4) pool=18 drawn=5
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(5, 1, 4) pool=299 drawn=92
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(6, 0, 3) pool=48 drawn=14
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(6, 0, 4) pool=22 drawn=6
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(6, 1, 3) pool=6 drawn=1
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(6, 1, 4) pool=388 drawn=120
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(7, 0, 4) pool=21 drawn=6
2026-04-25 16:33:54,893 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(7, 1, 4) pool=311 drawn=96
2026-04-25 16:33:54,894 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(8, 0, 4) pool=14 drawn=4
2026-04-25 16:33:54,894 | DEBUG   | build_curated_set | Pass2 L3 correct cell=(8, 1, 4) pool=238 drawn=74
